VIN,Error Code,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Body Class,Doors,Gross Vehicle Weight Rating From,Trailer Type Connection,Trailer Body Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Bus Floor Configuration Type,Bus Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Fuel Type - Primary,Engine Configuration,Other Engine Info,Turbo,Seat Belt Type,Front Air Bag Locations,Side Air Bag Locations,Tire Pressure Monitoring System (TPMS) Type,Wheel Base (inches) From,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Axles,Battery Voltage (Volts) From,Engine Model,Fuel Type - Secondary,Engine Brake (hp) From,Electrification Level,Engine Manufacturer,Knee Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Keyless Ignition,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Forward Collision Warning (FCW),Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Blind Spot Warning (BSW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Rear Cross Traffic Alert,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Base Price ($),Fuel Delivery / Fuel Injection Type,Top Speed (MPH),Transmission Speeds,Valve Train Design,Curtain Air Bag Locations,Other Restraint System Info,Active Safety System Note,Series2,Rear Automatic Emergency Braking,Brake System Description,Blind Spot Intervention (BSI),Lane Centering Assistance,Note,Pretensioner,Trim2,Seat Cushion Air Bag Locations,Adaptive Driving Beam (ADB),Engine Stroke Cycles,Event Data Recorder (EDR),Cooling Type,Parking Assist,Windows,Additional Error Text,Engine Brake (hp) To,Wheel Base Type,Entertainment System,SAE Automation Level From,Battery Type,Wheel Base (inches) To,Battery Energy (kWh) From,Number of Battery Packs per Vehicle,EV Drive Unit,Track Width (inches),Curb Weight (pounds),Suggested VIN,Other Battery Info,Charger Power (kW)
1J8GR48K98C234464,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1J8GR48K*8C,"U.S., Canada, Mexico, Other Export Market (BUX)",JEEP,FCA US LLC,Grand Cherokee,2008,DETROIT,WK,Laredo/Rocky Mountain Edition,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Jefferson North Assembly,MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,3700.0,225.78785315050,3.7,Gasoline,V-Shaped,Engine Info: Magnum  Sales Code: EKG,No,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3FA6P0LU6LR237039,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3FA6P0LU*LR,,FORD,"FORD MOTOR COMPANY, MEXICO",Fusion,2020,HERMOSILLO,,SE Hybrid,PASSENGER CAR,MEXICO,,,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,2000.0,122.04748818946,2.0,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,112.20,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,17,17,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,4,2.0L 4V AtK HEV,Electric,188,Strong HEV (Hybrid Electric Vehicle),Ford,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Halogen,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1FMCU0G76GUA41526,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1FMCU0G7*GU,,FORD,FORD MOTOR COMPANY,Escape,2016,LOUISVILLE,,SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Louisville Assembly,KENTUCKY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,Hydraulic,4,2500.0,152.55936023683,2.5,Gasoline,In-Line,iVCT  Premium Fuel,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,,,,,,,,,,,,,,,168,,Ford,Driver Seat Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1FMCU9G91HUB71219,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1FMCU9G9*HU,,FORD,FORD MOTOR COMPANY,Escape,2017,LOUISVILLE,,SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Louisville Assembly,KENTUCKY,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2000.0,122.04748818946,2.0,Gasoline,In-Line,Premium Fuel,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,105.90,,,,4,17,17,Left-Hand Drive (LHD),5,2,,2,,,,240,,Ford,Driver Seat Only,Standard,Standard,Standard,Standard,,Optional,,,,Standard,,Optional,,,Standard,,Standard,,,Standard,25250.00,Stoichiometric Gasoline Direct Injection (SGDI),125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19UUB2F59FA011593,0,0 - VIN decoded clean. Check Digit (9th position) is correct,19UUB2F5*FA,,ACURA,"AMERICAN HONDA MOTOR CO., INC.",TLX,2015,MARYVILLE,,TECH V6,PASSENGER CAR,UNITED STATES (USA),,OHIO,Sedan/Saloon,4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,,6,3474.057568,212,3.474057568,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,5,2,Automatic,,,J35Y6,,290,,,Driver Seat Only,Standard,Standard,Standard,Standard,,Standard,,,,Standard,,Standard,Standard,,Standard,,,Standard,,Standard,,,,9,Single Overhead Cam (SOHC),1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3VV2B7AXXKM034939,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3VV2B7AX*KM,,VOLKSWAGEN,VOLKSWAGEN DE MEXICO SA DE CV,Tiguan,2019,PUEBLA,,"4Motion SE, 4Motion SEL, 4Motion SEL R-Line, 4Motion SEL R-Line Jet-Black",MULTIPURPOSE PASSENGER VEHICLE (MPV),MEXICO,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,2000,122.0474881894,2,Gasoline,,Emissions Certification Test Group: KVGAJ02.0A3A; Emission Standard: Tier 3 BIN 30 LEV3 SULEV30,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,109.80,,,,4,,,Left-Hand Drive (LHD),5,2,Automatic,,,,,184,,VW,,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,,,Standard,,,Standard,,Standard,26695.00,,,8,,All Rows,Advanced Front Air Bags  ,"Adaptive Cruise Control: Standard for SEL, SEL R-Line and SEL Jet Black R-Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA4ARUAU9RU013932,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JA4ARUAU*RU,U.S.,MITSUBISHI,MITSUBISHI MOTORS CORPORATION (MMC),Outlander Sport,2024,KURASHIKI,,"S, ES, LE, SE, Ralliart, Trail Edition",MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,MIZUSHIMA PLANT,OKAYAMA PREFECTURE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2000.0,122.04748818946,2.0,Gasoline,In-Line,Top Speed: 6000rpm,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,,,,,,,,5,2,Continuously Variable Transmission (CVT),,,MIVEC,,148,,,,Standard,Standard,Standard,Standard,,,,Standard,Standard,Standard,Standard,Optional,Standard,,Standard,,,Standard,LED,Standard,,,,,Dual Overhead Cam (DOHC),1st and 2nd Rows,Seat Belts: All designated seating position / Curtain AB + Seat mounted AB,,Wagon Body Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3N1AB8DV7MY297964,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3N1AB8DV*MY,,NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Sentra,2021,AGUASCALIENTES,,SR,PASSENGER CAR,MEXICO,"Nissan Mexicana, S.A. de C.V.",AGUASCALIENTES,Sedan/Saloon,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,106.80,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,18,18,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,,,,,,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,,Standard,LED,Standard,,,,,,1st and 2nd Rows,1st Row 3-Point Manual Belts / 2nd Row outboard 3-Point Manual Belts and Curtain Side Air Bags / 2nd Row center 3-Point Manual Belts,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN8AT3DD3MW307003,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AT3DD*MW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2021,"KYUSHU PLANT, MIYAKO-GUN",,PLATINUM,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,106.50,,,,4,19,19,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,,,,,,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,LED,Standard,,,,,,1st and 2nd and 3rd Rows,"1st Row 3-Point Manual Belts & Far Side Air Bag  / 2nd row outboard 3-Point Manual Belts, 2nd row center 3-Point Manual Belts / 3rd row outboard 3-Point Manual Belts",,Wagon Body Style,Standard,4-Wheel ABS,Standard,Standard,,,,,,,,,,,,,,,,,,,,,,,,,
55SWF4KBXFU062576,0,0 - VIN decoded clean. Check Digit (9th position) is correct,55SWF4KB*FU,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,2015,VANCE,,4-MATIC,PASSENGER CAR,UNITED STATES (USA),Mercedes-Ben USA,ALABAMA,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,2000,122.0474881894,2,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,Yes,,,,,,,,,,,,,,,,,,,,,,,
