auction_date,auctioneer,location,pdf_filename,#,YEAR,MAKE,PLATE#,ST,VIN,LIENHOLDER
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,2,2008,JEEP,E61AXU,NJ,1J8GR48K98C234464,TD AUTO FINANCE LLC
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,3,2020,FORD,BP97891,CT,3FA6P0LU6LR237039,WINTHROP FINANCIAL RESOURCES
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,5,2016,FORD,1FN6707,AL,1FMCU0G76GUA41526,ACHIEVE FIANCIAL CREDIT UNION
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,6,2017,FORD,HSE2967,NY,1FMCU9G91HUB71219,FORD;MOTOR;CREDIT;CO
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,7,2015,ACURA,D61URC,NJ,19UUB2F59FA011593,WESTLAKE FINANCIAL SVS LLC
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,9,2019,VOLKS,JFX7253,NY,3VV2B7AXXKM034939,VW;CREDIT;INC
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,11,2024,MITSU,LLL9441,NY,JA4ARUAU9RU013932,CREDIT;ACCEPTANCE CORP
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,12,2021,NISSA,K91VCF,NJ,3N1AB8DV7MY297964,CREDIT ACCEPTANCE CORP
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,14,2021,NISSA,LCA8399,NC,JN8AT3DD3MW307003,NISSAN MOTOR ACCEPTANCE CORP
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,16,2015,MERCE,BG91834,CT,55SWF4KBXFU062576,FLAGSHIP CREDIT ACCEPTANCE
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,17,2024,SUBAR,LBU5777,NY,JF2GUADC6R8206632,JPMORGAN;CHASE BANK NA
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,18,2025,TOYOT,LSJ1463,NY,2T3A1RFV1SC494197,TOYOTA;MOTOR;CREDIT CORP
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,19,2017,HONDA,LEK6850,NY,1HGCR2F34HA178985,CAPITAL;ONE;AUTO FINANCE
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,20,2019,BMW,B83SXD,NJ,3MW5R7J59K8B01610,SANTANDER CONSUMER USA INC
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,21,2018,MITSU,LRT1885,NY,ML32A4HJ3JH006553,WESTLAKE;FINANCIAL SERVICES
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,22,2020,HONDA,LVS5195,NY,2HGFC2F83LH529423,ALLY;FINANCIAL
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,23,2018,JEEP,KZD5692,NY,1C4RJFBGXJC240870,CAPITAL;ONE;AUTO FINANCE
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,25,2011,CHEVR,MNS0309,PA,1GNKRGED7BJ129327,CAPITAL ONE AUTO FINANCE
"November 14, 2025",MICHAEL GOLIA,"FIVE J'S AUTOMOTIVE 4825 BALDWIN STREET BRONX, NY 10470",auction-111425-bnx.pdf,29,2022,CHEVR,LXV4093,NY,KL79MPSL0NB031429,GM;FINANCIAL
